Experiment,combo,MAE [m],F1 DLT,F1 FMASK,Bias [m],RMSE [m],R2 [-],nMAE [%]
01_baseline,_allin,4.18±0.15,,,0.26±0.27,5.68±0.24,0.69±0.04,20.52±1.29
02_pixel_composites,_allin,4.10±0.19,,,0.14±0.20,5.60±0.26,0.70±0.03,20.11±0.83
03_seasonal_composites,_allin,3.70±0.10,,,-0.01±0.06,5.06±0.17,0.75±0.04,16.94±0.49
04_pixel_and_seasonal_comp,_allin,3.66±0.14,,,-0.15±0.17,4.97±0.21,0.75±0.02,16.00±0.52
05_support_fmask_dlt,_allin,3.71±0.07,,,-0.05±0.16,5.03±0.14,0.75±0.02,16.24±0.26
06_support_fmask_dlt_dem,_allin,3.68±0.10,,,-0.13±0.15,5.00±0.16,0.75±0.02,16.06±0.35
07_aux_task,_allin,3.67±0.09,0.94±0.00,0.98±0.00,0.06±0.12,5.01±0.15,0.75±0.02,16.30±0.36
