Experiment,combo,MAE [m] (Test) Mean,MAE [m] (Test) Std,MAE [m] (Test) Count,nMAE [%] (Test) Mean,nMAE [%] (Test) Std,nMAE [%] (Test) Count,RMSE [m] (Test) Mean,RMSE [m] (Test) Std,RMSE [m] (Test) Count,Bias [m] (Test) Mean,Bias [m] (Test) Std,Bias [m] (Test) Count,R2 [-] (Test) Mean,R2 [-] (Test) Std,R2 [-] (Test) Count,F1 FMASK (Test) Mean,F1 FMASK (Test) Std,F1 FMASK (Test) Count,F1 DLT (Test) Mean,F1 DLT (Test) Std,F1 DLT (Test) Count
01_baseline,_allin,4.176,0.1451895313030521,5,20.51600036621094,1.2926445851426673,5,5.679999923706054,0.24135039933423644,5,0.25799999833106996,0.26527344564281424,5,0.6899999976158142,0.038078868346853145,5,,,0,,,0
02_pixel_composites,_allin,4.096,0.18676188047885986,5,20.111999893188475,0.8341281908623146,5,5.596000003814697,0.2635905139229649,5,0.14200000166893,0.19967473907619637,5,0.7,0.027386123522354828,5,,,0,,,0
03_seasonal_composites,_allin,3.6980000000000004,0.09808159868191384,5,16.94199981689453,0.49489361985907254,5,5.060000038146972,0.16718263223287166,5,-0.014000000059604658,0.05941380253445881,5,0.7520000100135803,0.038340565002782726,5,,,0,,,0
04_pixel_and_seasonal_comp,_allin,3.66,0.1378404875209021,5,16.00399990081787,0.5153928986819196,5,4.9720001220703125,0.2075330571878882,5,-0.15199999809265136,0.16513630739924426,5,0.7539999961853028,0.024083166190065626,5,,,0,,,0
05_support_fmask_dlt,_allin,3.7079999999999997,0.07362064927722393,5,16.244000053405763,0.2625451372852571,5,5.027999973297119,0.13516655848010167,5,-0.05399999916553498,0.16334013846531714,5,0.7459999918937683,0.023021730212757687,5,,,0,,,0
06_support_fmask_dlt_dem,_allin,3.682,0.1015874007936023,5,16.061999893188478,0.3536524207123689,5,5.003999996185303,0.15582026084433714,5,-0.1300000000745058,0.15231546060823634,5,0.7480000019073486,0.019235365717379604,5,,,0,,,0
07_aux_task,_allin,3.6700000000000004,0.09354143466934867,5,16.299999809265138,0.3558089131029872,5,5.007999992370605,0.1512282861303475,5,0.05599999874830246,0.11631852703003935,5,0.75,0.0223606584501919,5,0.9800599999999999,0.0022501111083677475,5,0.94306,0.003582317685521505,5
